arrest,beat,block,community_area,description,district,domestic,fbi_code,iucr,location_description,location_type,primary_type,ward,year
,,046XX S MARSHFIELD AVE,,,,,,,,,,,
,,046XX S MICHIGAN AVE,,,,,,,,,,,
,,046XX S MOZART ST,,,,,,,,,,,
,,046XX S NORMAL AVE,,,,,,,,,,,
,,046XX S PAULINA ST,,,,,,,,,,,
,,046XX S PRAIRIE AVE,,,,,,,,,,,
,,046XX S PRINCETON AVE,,,,,,,,,,,
,,046XX S PULASKI RD,,,,,,,,,,,
,,046XX S RACINE AVE,,,,,,,,,,,
,,046XX S RICHMOND ST,,,,,,,,,,,
,,046XX S ROCKWELL ST,,,,,,,,,,,
,,046XX S SACRAMENTO AVE,,,,,,,,,,,
,,046XX S SAWYER AVE,,,,,,,,,,,
,,046XX S SPAULDING AVE,,,,,,,,,,,
,,046XX S SPRINGFIELD AVE,,,,,,,,,,,
,,046XX S ST LAWRENCE AVE,,,,,,,,,,,
,,046XX S ST LOUIS AVE,,,,,,,,,,,
,,046XX S STATE ST,,,,,,,,,,,
,,046XX S TALMAN AVE,,,,,,,,,,,
,,046XX S TRIPP AVE,,,,,,,,,,,
,,046XX S TROY ST,,,,,,,,,,,
,,046XX S TRUMBULL AVE,,,,,,,,,,,
,,046XX S UNION AVE,,,,,,,,,,,
,,046XX S VINCENNES AVE,,,,,,,,,,,
,,046XX S WABASH AVE,,,,,,,,,,,
,,046XX S WALLACE ST,,,,,,,,,,,
,,046XX S WASHTENAW AVE,,,,,,,,,,,
,,046XX S WELLS ST,,,,,,,,,,,
,,046XX S WESTERN AVE,,,,,,,,,,,
,,046XX S WESTERN BLVD,,,,,,,,,,,
,,046XX S WHIPPLE ST,,,,,,,,,,,
,,046XX S WINCHESTER AVE,,,,,,,,,,,
,,046XX S WOLCOTT AVE,,,,,,,,,,,
,,046XX S WOOD ST,,,,,,,,,,,
,,046XX S WOODLAWN AVE,,,,,,,,,,,
,,046XX W 45TH ST,,,,,,,,,,,
,,046XX W 47TH ST,,,,,,,,,,,
,,046XX W 48TH ST,,,,,,,,,,,
,,046XX W 53RD ST,,,,,,,,,,,
,,046XX W 59TH ST,,,,,,,,,,,
,,046XX W 63RD ST,,,,,,,,,,,
,,046XX W 64TH ST,,,,,,,,,,,
,,046XX W 65TH ST,,,,,,,,,,,
,,046XX W 79TH PL,,,,,,,,,,,
,,046XX W 79TH ST,,,,,,,,,,,
,,046XX W 82ND PL,,,,,,,,,,,
,,046XX W 82ND ST,,,,,,,,,,,
,,046XX W 83RD PL,,,,,,,,,,,
,,046XX W 83RD ST,,,,,,,,,,,
,,046XX W 84TH PL,,,,,,,,,,,
,,046XX W 87TH ST,,,,,,,,,,,
,,046XX W ADAMS ST,,,,,,,,,,,
,,046XX W ADDISON ST,,,,,,,,,,,
,,046XX W ALTGELD ST,,,,,,,,,,,
,,046XX W ARMITAGE AVE,,,,,,,,,,,
,,046XX W ARTHINGTON ST,,,,,,,,,,,
,,046XX W BARRY AVE,,,,,,,,,,,
,,046XX W BELDEN AVE,,,,,,,,,,,
,,046XX W BELMONT AVE,,,,,,,,,,,
,,046XX W BERTEAU AVE,,,,,,,,,,,
,,046XX W CHICAGO AVE,,,,,,,,,,,
,,046XX W DEMING PL,,,,,,,,,,,
,,046XX W DICKENS AVE,,,,,,,,,,,
,,046XX W DIVERSEY AVE,,,,,,,,,,,
,,046XX W DIVISION ST,,,,,,,,,,,
,,046XX W ERIE ST,,,,,,,,,,,
,,046XX W FIFTH AVE,,,,,,,,,,,
,,046XX W FLOURNOY ST,,,,,,,,,,,
,,046XX W FULLERTON AVE,,,,,,,,,,,
,,046XX W FULTON ST,,,,,,,,,,,
,,046XX W GLADYS AVE,,,,,,,,,,,
,,046XX W GRACE ST,,,,,,,,,,,
,,046XX W GRAND AVE,,,,,,,,,,,
,,046XX W HARRISON ST,,,,,,,,,,,
,,046XX W HURON ST,,,,,,,,,,,
,,046XX W IRVING PARK RD,,,,,,,,,,,
,,046XX W JACKSON BLVD,,,,,,,,,,,
,,046XX W LAKE ST,,,,,,,,,,,
,,046XX W LAWRENCE AVE,,,,,,,,,,,
,,046XX W LEXINGTON ST,,,,,,,,,,,
,,046XX W MADISON ST,,,,,,,,,,,
,,046XX W MARQUETTE RD,,,,,,,,,,,
,,046XX W MAYPOLE AVE,,,,,,,,,,,
,,046XX W MC LEAN AVE,,,,,,,,,,,
,,046XX W MONROE ST,,,,,,,,,,,
,,046XX W MONTANA ST,,,,,,,,,,,
,,046XX W MONTROSE AVE,,,,,,,,,,,
,,046XX W Montrose Ave,,,,,,,,,,,
,,046XX W NORTH AVE,,,,,,,,,,,
,,046XX W OGDEN AVE,,,,,,,,,,,
,,046XX W OHIO ST,,,,,,,,,,,
,,046XX W PALMER ST,,,,,,,,,,,
,,046XX W PATTERSON AVE,,,,,,,,,,,
,,046XX W PETERSON AVE,,,,,,,,,,,
,,046XX W POLK ST,,,,,,,,,,,
,,046XX W SCHUBERT AVE,,,,,,,,,,,
,,046XX W SHAKESPEARE AVE,,,,,,,,,,,
,,046XX W SUPERIOR ST,,,,,,,,,,,
,,046XX W VAN BUREN ST,,,,,,,,,,,
,,046XX W WARWICK AVE,,,,,,,,,,,
,,046XX W WASHINGTON BLVD,,,,,,,,,,,
,,046XX W WAVELAND AVE,,,,,,,,,,,
,,046XX W WELLINGTON AVE,,,,,,,,,,,
,,046XX W WEST END AVE,,,,,,,,,,,
,,046XX W WILSON AVE,,,,,,,,,,,
,,046XX W WRIGHTWOOD AVE,,,,,,,,,,,
,,047XX N ALBANY AVE,,,,,,,,,,,
,,047XX N ANTHON AVE,,,,,,,,,,,
,,047XX N ARTESIAN AVE,,,,,,,,,,,
,,047XX N ASHLAND AVE,,,,,,,,,,,
,,047XX N AUSTIN AVE,,,,,,,,,,,
,,047XX N AVERS AVE,,,,,,,,,,,
,,047XX N BEACON ST,,,,,,,,,,,
,,047XX N BERNARD ST,,,,,,,,,,,
,,047XX N BROADWAY,,,,,,,,,,,
,,047XX N CAMPBELL AVE,,,,,,,,,,,
,,047XX N CENTRAL AVE,,,,,,,,,,,
,,047XX N CENTRAL PARK AVE,,,,,,,,,,,
,,047XX N CICERO AVE,,,,,,,,,,,
,,047XX N CLARENDON AVE,,,,,,,,,,,
,,047XX N CLARK ST,,,,,,,,,,,
,,047XX N CUMBERLAND AVE,,,,,,,,,,,
,,047XX N DAMEN AVE,,,,,,,,,,,
,,047XX N DOVER ST,,,,,,,,,,,
,,047XX N DRAKE AVE,,,,,,,,,,,
,,047XX N ELSTON AVE,,,,,,,,,,,
,,047XX N HAMILTON AVE,,,,,,,,,,,
,,047XX N HARDING AVE,,,,,,,,,,,
,,047XX N HERMITAGE AVE,,,,,,,,,,,
,,047XX N KARLOV AVE,,,,,,,,,,,
,,047XX N KASSON AVE,,,,,,,,,,,
,,047XX N KEATING AVE,,,,,,,,,,,
,,047XX N KEDVALE AVE,,,,,,,,,,,
,,047XX N KEDZIE AVE,,,,,,,,,,,
,,047XX N KEELER AVE,,,,,,,,,,,
,,047XX N KENMORE AVE,,,,,,,,,,,
,,047XX N KENNETH AVE,,,,,,,,,,,
,,047XX N KEWANEE AVE,,,,,,,,,,,
,,047XX N KEYSTONE AVE,,,,,,,,,,,
,,047XX N KILBOURN AVE,,,,,,,,,,,
,,047XX N KILDARE AVE,,,,,,,,,,,
,,047XX N KILPATRICK AVE,,,,,,,,,,,
,,047XX N KIMBALL AVE,,,,,,,,,,,
,,047XX N KNOX AVE,,,,,,,,,,,
,,047XX N KOSTNER AVE,,,,,,,,,,,
,,047XX N LAMON AVE,,,,,,,,,,,
,,047XX N LAPORTE AVE,,,,,,,,,,,
,,047XX N LARAMIE AVE,,,,,,,,,,,
,,047XX N LAVERGNE AVE,,,,,,,,,,,
,,047XX N LAWLER AVE,,,,,,,,,,,
,,047XX N LAWNDALE AVE,,,,,,,,,,,
,,047XX N LEAVITT ST,,,,,,,,,,,
,,047XX N LINCOLN AVE,,,,,,,,,,,
,,047XX N LONDON AVE,,,,,,,,,,,
,,047XX N LONG AVE,,,,,,,,,,,
,,047XX N LOTUS AVE,,,,,,,,,,,
,,047XX N LOWELL AVE,,,,,,,,,,,
,,047XX N LUNA AVE,,,,,,,,,,,
,,047XX N Leamington ave,,,,,,,,,,,
,,047XX N MAGNOLIA AVE,,,,,,,,,,,
,,047XX N MALDEN ST,,,,,,,,,,,
,,047XX N MAPLEWOOD AVE,,,,,,,,,,,
,,047XX N MARIA CT,,,,,,,,,,,
,,047XX N MARINE DR,,,,,,,,,,,
,,047XX N MENARD AVE,,,,,,,,,,,
,,047XX N MILWAUKEE AVE,,,,,,,,,,,
,,047XX N MONTICELLO AVE,,,,,,,,,,,
,,047XX N Malden St,,,,,,,,,,,
,,047XX N OAKLEY AVE,,,,,,,,,,,
,,047XX N PAULINA ST,,,,,,,,,,,
,,047XX N POTAWATOMIE AVE,,,,,,,,,,,
,,047XX N PULASKI RD,,,,,,,,,,,
,,047XX N RACINE AVE,,,,,,,,,,,
,,047XX N RAVENSWOOD AVE,,,,,,,,,,,
,,047XX N ROCKWELL ST,,,,,,,,,,,
,,047XX N SACRAMENTO AVE,,,,,,,,,,,
,,047XX N SAWYER AVE,,,,,,,,,,,
,,047XX N SHERIDAN RD,,,,,,,,,,,
,,047XX N SIMONDS DR,,,,,,,,,,,
,,047XX N SPAULDING AVE,,,,,,,,,,,
,,047XX N SPRINGFIELD AVE,,,,,,,,,,,
,,047XX N ST LOUIS AVE,,,,,,,,,,,
,,047XX N TALMAN AVE,,,,,,,,,,,
,,047XX N TRIPP AVE,,,,,,,,,,,
,,047XX N TROY ST,,,,,,,,,,,
,,047XX N VIRGINIA AVE,,,,,,,,,,,
,,047XX N WASHTENAW AVE,,,,,,,,,,,
,,047XX N WESTERN AVE,,,,,,,,,,,
,,047XX N WHIPPLE ST,,,,,,,,,,,
,,047XX N WINTHROP AVE,,,,,,,,,,,
,,047XX N WOLCOTT AVE,,,,,,,,,,,
,,047XX S ABERDEEN ST,,,,,,,,,,,
,,047XX S ADA ST,,,,,,,,,,,
,,047XX S ARCHER AVE,,,,,,,,,,,
,,047XX S ASHLAND AVE,,,,,,,,,,,
,,047XX S AVERS AVE,,,,,,,,,,,
,,047XX S Avers Ave,,,,,,,,,,,
,,047XX S BISHOP ST,,,,,,,,,,,
,,047XX S CALIFORNIA AVE,,,,,,,,,,,
,,047XX S CALUMET AVE,,,,,,,,,,,
,,047XX S CAMPBELL AVE,,,,,,,,,,,
,,047XX S CHAMPLAIN AVE,,,,,,,,,,,
,,047XX S CHRISTIANA AVE,,,,,,,,,,,
,,047XX S CICERO AVE,,,,,,,,,,,
,,047XX S CORNELL AVE,,,,,,,,,,,
,,047XX S COTTAGE GROVE AVE,,,,,,,,,,,
,,047XX S DAMEN AVE,,,,,,,,,,,
,,047XX S DAN RYAN LOCAL IB,,,,,,,,,,,
,,047XX S DORCHESTER AVE,,,,,,,,,,,
,,047XX S DR MARTIN LUTHER KING JR DR,,,,,,,,,,,
,,047XX S DR MARTIN LUTHER KING JR SD,,,,,,,,,,,
,,047XX S DREXEL BLVD,,,,,,,,,,,
,,047XX S ELIZABETH ST,,,,,,,,,,,
,,047XX S ELLIS AVE,,,,,,,,,,,
,,047XX S EVANS AVE,,,,,,,,,,,
,,047XX S FAIRFIELD AVE,,,,,,,,,,,
,,047XX S FEDERAL ST,,,,,,,,,,,
,,047XX S FORRESTVILLE AVE,,,,,,,,,,,
,,047XX S GREENWOOD AVE,,,,,,,,,,,
,,047XX S HALSTED ST,,,,,,,,,,,
,,047XX S HAMLIN AVE,,,,,,,,,,,
,,047XX S HARDING AVE,,,,,,,,,,,
,,047XX S HERMITAGE AVE,,,,,,,,,,,
,,047XX S HONORE ST,,,,,,,,,,,
,,047XX S HOYNE AVE,,,,,,,,,,,
,,047XX S INDIANA AVE,,,,,,,,,,,
,,047XX S INGLESIDE AVE,,,,,,,,,,,
,,047XX S JUSTINE ST,,,,,,,,,,,
,,047XX S KARLOV AVE,,,,,,,,,,,
,,047XX S KEATING AVE,,,,,,,,,,,
,,047XX S KEDVALE AVE,,,,,,,,,,,
,,047XX S KEDZIE AVE,,,,,,,,,,,
,,047XX S KEELER AVE,,,,,,,,,,,
,,047XX S KENNETH AVE,,,,,,,,,,,
,,047XX S KENWOOD AVE,,,,,,,,,,,
,,047XX S KILDARE AVE,,,,,,,,,,,
,,047XX S KILPATRICK AVE,,,,,,,,,,,
,,047XX S KNOX AVE,,,,,,,,,,,
,,047XX S KOLIN AVE,,,,,,,,,,,
,,047XX S KOMENSKY AVE,,,,,,,,,,,
,,047XX S KOSTNER AVE,,,,,,,,,,,
,,047XX S LA CROSSE AVE,,,,,,,,,,,
,,047XX S LAFLIN ST,,,,,,,,,,,
,,047XX S LAKE PARK AVE,,,,,,,,,,,
,,047XX S LAKE SHORE DR NB,,,,,,,,,,,
,,047XX S LAKE SHORE DR SB,,,,,,,,,,,
,,047XX S LAMON AVE,,,,,,,,,,,
,,047XX S LANGLEY AVE,,,,,,,,,,,
,,047XX S LAPORTE AVE,,,,,,,,,,,
,,047XX S LARAMIE AVE,,,,,,,,,,,
,,047XX S LAVERGNE AVE,,,,,,,,,,,
,,047XX S LAWLER AVE,,,,,,,,,,,
,,047XX S LAWNDALE AVE,,,,,,,,,,,
,,047XX S LEAMINGTON AVE,,,,,,,,,,,
,,047XX S LECLAIRE AVE,,,,,,,,,,,
,,047XX S LOOMIS BLVD,,,,,,,,,,,
,,047XX S MAPLEWOOD AVE,,,,,,,,,,,
,,047XX S MARSHFIELD AVE,,,,,,,,,,,
,,047XX S MICHIGAN AVE,,,,,,,,,,,
,,047XX S OAKLEY AVE,,,,,,,,,,,
,,047XX S PAULINA ST,,,,,,,,,,,
,,047XX S PRAIRIE AVE,,,,,,,,,,,
,,047XX S PRINCETON AVE,,,,,,,,,,,
,,047XX S PULASKI RD,,,,,,,,,,,
,,047XX S RACINE AVE,,,,,,,,,,,
,,047XX S RICHMOND ST,,,,,,,,,,,
,,047XX S RIDGEWAY AVE,,,,,,,,,,,
,,047XX S ROCKWELL ST,,,,,,,,,,,
,,047XX S SEELEY AVE,,,,,,,,,,,
,,047XX S SHIELDS AVE,,,,,,,,,,,
,,047XX S SPRINGFIELD AVE,,,,,,,,,,,
,,047XX S ST LAWRENCE AVE,,,,,,,,,,,
,,047XX S STATE ST,,,,,,,,,,,
,,047XX S TALMAN AVE,,,,,,,,,,,
,,047XX S THROOP ST,,,,,,,,,,,
,,047XX S TRIPP AVE,,,,,,,,,,,
,,047XX S UNION AVE,,,,,,,,,,,
,,047XX S VINCENNES AVE,,,,,,,,,,,
,,047XX S WABASH AVE,,,,,,,,,,,
,,047XX S WALLACE ST,,,,,,,,,,,
,,047XX S WASHTENAW AVE,,,,,,,,,,,
,,047XX S WELLS ST,,,,,,,,,,,
,,047XX S WENTWORTH AVE,,,,,,,,,,,
,,047XX S WESTERN AVE,,,,,,,,,,,
,,047XX S WESTERN BLVD,,,,,,,,,,,
,,047XX S WINCHESTER AVE,,,,,,,,,,,
,,047XX S WOLCOTT AVE,,,,,,,,,,,
,,047XX S WOOD ST,,,,,,,,,,,
,,047XX S WOODLAWN AVE,,,,,,,,,,,
,,047XX W 47TH ST,,,,,,,,,,,
,,047XX W 48TH ST,,,,,,,,,,,
,,047XX W 49TH ST,,,,,,,,,,,
,,047XX W 50TH ST,,,,,,,,,,,
,,047XX W 51ST ST,,,,,,,,,,,
,,047XX W 53RD ST,,,,,,,,,,,
,,047XX W 55TH ST,,,,,,,,,,,
,,047XX W 59TH ST,,,,,,,,,,,
,,047XX W 63RD ST,,,,,,,,,,,
,,047XX W 65TH ST,,,,,,,,,,,
,,047XX W 78TH ST,,,,,,,,,,,
,,047XX W 79TH ST,,,,,,,,,,,
,,047XX W 82ND PL,,,,,,,,,,,
,,047XX W 83RD ST,,,,,,,,,,,
,,047XX W 84TH PL,,,,,,,,,,,
,,047XX W 85TH ST,,,,,,,,,,,
,,047XX W 87TH ST,,,,,,,,,,,
,,047XX W ADAMS ST,,,,,,,,,,,
,,047XX W ADDISON ST,,,,,,,,,,,
,,047XX W ALTGELD ST,,,,,,,,,,,
,,047XX W ARMITAGE AVE,,,,,,,,,,,
,,047XX W ARTHINGTON ST,,,,,,,,,,,
,,047XX W AUGUSTA BLVD,,,,,,,,,,,
,,047XX W BARRY AVE,,,,,,,,,,,
,,047XX W BELDEN AVE,,,,,,,,,,,
,,047XX W BELLE PLAINE AVE,,,,,,,,,,,
,,047XX W BELMONT AVE,,,,,,,,,,,
,,047XX W BERENICE AVE,,,,,,,,,,,
,,047XX W BYRON ST,,,,,,,,,,,
,,047XX W CHICAGO AVE,,,,,,,,,,,
,,047XX W CONGRESS PKWY,,,,,,,,,,,
,,047XX W CORNELIA AVE,,,,,,,,,,,
,,047XX W DEMING PL,,,,,,,,,,,
,,047XX W DICKENS AVE,,,,,,,,,,,
,,047XX W DIVERSEY AVE,,,,,,,,,,,
,,047XX W ERIE ST,,,,,,,,,,,
,,047XX W FIFTH AVE,,,,,,,,,,,
,,047XX W FLOURNOY ST,,,,,,,,,,,
,,047XX W FULLERTON AVE,,,,,,,,,,,
,,047XX W FULTON ST,,,,,,,,,,,
,,047XX W GEORGE ST,,,,,,,,,,,
,,047XX W GLADYS AVE,,,,,,,,,,,
,,047XX W GLENLAKE AVE,,,,,,,,,,,
,,047XX W GRACE ST,,,,,,,,,,,
,,047XX W GRAND AVE,,,,,,,,,,,
,,047XX W HARRISON ST,,,,,,,,,,,
,,047XX W HURON ST,,,,,,,,,,,
,,047XX W IRVING PARK RD,,,,,,,,,,,
,,047XX W JACKSON BLVD,,,,,,,,,,,
,,047XX W LAKE ST,,,,,,,,,,,
,,047XX W LAWRENCE AVE,,,,,,,,,,,
,,047XX W LE MOYNE ST,,,,,,,,,,,
,,047XX W LEXINGTON ST,,,,,,,,,,,
,,047XX W MADISON ST,,,,,,,,,,,
,,047XX W MAYPOLE AVE,,,,,,,,,,,
,,047XX W MC LEAN AVE,,,,,,,,,,,
,,047XX W MONROE ST,,,,,,,,,,,
,,047XX W MONTANA ST,,,,,,,,,,,
,,047XX W MONTROSE AVE,,,,,,,,,,,
,,047XX W NORTH AVE,,,,,,,,,,,
,,047XX W OHIO ST,,,,,,,,,,,
,,047XX W PALMER ST,,,,,,,,,,,
,,047XX W PARKER AVE,,,,,,,,,,,
,,047XX W PATTERSON AVE,,,,,,,,,,,
,,047XX W PETERSON AVE,,,,,,,,,,,
,,047XX W POLK ST,,,,,,,,,,,
,,047XX W RACE AVE,,,,,,,,,,,
,,047XX W RICE ST,,,,,,,,,,,
,,047XX W ROOSEVELT RD,,,,,,,,,,,
,,047XX W ROSCOE ST,,,,,,,,,,,
,,047XX W SCHOOL ST,,,,,,,,,,,
,,047XX W SCHUBERT AVE,,,,,,,,,,,
,,047XX W SHAKESPEARE AVE,,,,,,,,,,,
,,047XX W SUPERIOR ST,,,,,,,,,,,
,,047XX W VAN BUREN ST,,,,,,,,,,,
,,047XX W WABANSIA AVE,,,,,,,,,,,
,,047XX W WALTON ST,,,,,,,,,,,
,,047XX W WARWICK AVE,,,,,,,,,,,
,,047XX W WASHINGTON BLVD,,,,,,,,,,,
,,047XX W WAVELAND AVE,,,,,,,,,,,
,,047XX W WAYMAN ST,,,,,,,,,,,
,,047XX W WELLINGTON AVE,,,,,,,,,,,
,,047XX W WEST END AVE,,,,,,,,,,,
,,047XX W WILSON AVE,,,,,,,,,,,
,,047XX W WRIGHTWOOD AVE,,,,,,,,,,,
,,048XX N ALBANY AVE,,,,,,,,,,,
,,048XX N ASHLAND AVE,,,,,,,,,,,
,,048XX N AUSTIN AVE,,,,,,,,,,,
,,048XX N AVERS AVE,,,,,,,,,,,
,,048XX N BELL AVE,,,,,,,,,,,
,,048XX N BERNARD ST,,,,,,,,,,,
,,048XX N BROADWAY,,,,,,,,,,,
,,048XX N CALIFORNIA AVE,,,,,,,,,,,
,,048XX N CENTRAL AVE,,,,,,,,,,,
,,048XX N CENTRAL PARK AVE,,,,,,,,,,,
,,048XX N CHRISTIANA AVE,,,,,,,,,,,
,,048XX N CICERO AVE,,,,,,,,,,,
,,048XX N CLAREMONT AVE,,,,,,,,,,,
,,048XX N CLARK ST,,,,,,,,,,,
,,048XX N DAMEN AVE,,,,,,,,,,,
,,048XX N DRAKE AVE,,,,,,,,,,,
,,048XX N ELSTON AVE,,,,,,,,,,,
,,048XX N FAIRFIELD AVE,,,,,,,,,,,
,,048XX N FRANCISCO AVE,,,,,,,,,,,
,,048XX N HAMILTON AVE,,,,,,,,,,,
,,048XX N HAMLIN AVE,,,,,,,,,,,
,,048XX N HARDING AVE,,,,,,,,,,,
,,048XX N HARLEM AVE,,,,,,,,,,,
,,048XX N HERMITAGE AVE,,,,,,,,,,,
,,048XX N HOYNE AVE,,,,,,,,,,,
,,048XX N KARLOV AVE,,,,,,,,,,,
,,048XX N KEDVALE AVE,,,,,,,,,,,
,,048XX N KEDZIE AVE,,,,,,,,,,,
,,048XX N KEELER AVE,,,,,,,,,,,
,,048XX N KENMORE AVE,,,,,,,,,,,
,,048XX N KENNETH AVE,,,,,,,,,,,
,,048XX N KENTUCKY AVE,,,,,,,,,,,
,,048XX N KEYSTONE AVE,,,,,,,,,,,
,,048XX N KILBOURN AVE,,,,,,,,,,,
,,048XX N KILDARE AVE,,,,,,,,,,,
,,048XX N KILPATRICK AVE,,,,,,,,,,,
,,048XX N KIMBALL AVE,,,,,,,,,,,
,,048XX N KOSTNER AVE,,,,,,,,,,,
,,048XX N KRUGER AVE,,,,,,,,,,,
,,048XX N LAMON AVE,,,,,,,,,,,
,,048XX N LAVERGNE AVE,,,,,,,,,,,
,,048XX N LAWNDALE AVE,,,,,,,,,,,
,,048XX N LEAVITT ST,,,,,,,,,,,
,,048XX N LECLAIRE AVE,,,,,,,,,,,
,,048XX N LINCOLN AVE,,,,,,,,,,,
,,048XX N LINDER AVE,,,,,,,,,,,
,,048XX N LIPPS AVE,,,,,,,,,,,
,,048XX N LONG AVE,,,,,,,,,,,
,,048XX N LOWELL AVE,,,,,,,,,,,
,,048XX N Linder Ave,,,,,,,,,,,
,,048XX N MAGNOLIA AVE,,,,,,,,,,,
,,048XX N MAJOR AVE,,,,,,,,,,,
,,048XX N MARINE DR,,,,,,,,,,,
,,048XX N MASON AVE,,,,,,,,,,,
,,048XX N MC VICKER AVE,,,,,,,,,,,
,,048XX N MEADE AVE,,,,,,,,,,,
,,048XX N MELVINA AVE,,,,,,,,,,,
,,048XX N MENARD AVE,,,,,,,,,,,
,,048XX N MERRIMAC AVE,,,,,,,,,,,
,,048XX N MILWAUKEE AVE,,,,,,,,,,,
,,048XX N MONTCLARE AVE,,,,,,,,,,,
,,048XX N MONTICELLO AVE,,,,,,,,,,,
,,048XX N MOODY AVE,,,,,,,,,,,
,,048XX N MULLIGAN AVE,,,,,,,,,,,
,,048XX N NAGLE AVE,,,,,,,,,,,
,,048XX N NATOMA AVE,,,,,,,,,,,
,,048XX N NEENAH AVE,,,,,,,,,,,
,,048XX N NORDICA AVE,,,,,,,,,,,
,,048XX N NORMANDY AVE,,,,,,,,,,,
,,048XX N NOTTINGHAM AVE,,,,,,,,,,,
,,048XX N OAK PARK AVE,,,,,,,,,,,
,,048XX N OAKLEY AVE,,,,,,,,,,,
,,048XX N PAULINA ST,,,,,,,,,,,
,,048XX N PULASKI RD,,,,,,,,,,,
,,048XX N RAVENSWOOD AVE,,,,,,,,,,,
,,048XX N RIDGEWAY AVE,,,,,,,,,,,
,,048XX N ROCKWELL ST,,,,,,,,,,,
,,048XX N RUTHERFORD AVE,,,,,,,,,,,
,,048XX N SACRAMENTO AVE,,,,,,,,,,,
,,048XX N SAWYER AVE,,,,,,,,,,,
,,048XX N SEELEY AVE,,,,,,,,,,,
,,048XX N SHERIDAN RD,,,,,,,,,,,
,,048XX N SIMONDS DR,,,,,,,,,,,
,,048XX N SPAULDING AVE,,,,,,,,,,,
,,048XX N SPRINGFIELD AVE,,,,,,,,,,,
,,048XX N ST LOUIS AVE,,,,,,,,,,,
,,048XX N TALMAN AVE,,,,,,,,,,,
,,048XX N TRIPP AVE,,,,,,,,,,,
,,048XX N TROY ST,,,,,,,,,,,
,,048XX N WASHTENAW AVE,,,,,,,,,,,
,,048XX N WESTERN AVE,,,,,,,,,,,
,,048XX N WINCHESTER AVE,,,,,,,,,,,
,,048XX N WINTHROP AVE,,,,,,,,,,,
,,048XX N WOLCOTT AVE,,,,,,,,,,,
,,048XX N Winchester Ave,,,,,,,,,,,
,,048XX N Winthrop Ave,,,,,,,,,,,
,,048XX S ABERDEEN ST,,,,,,,,,,,
,,048XX S ADA ST,,,,,,,,,,,
,,048XX S ARCHER AVE,,,,,,,,,,,
,,048XX S ASHLAND AVE,,,,,,,,,,,
,,048XX S AVERS AVE,,,,,,,,,,,
,,048XX S BISHOP ST,,,,,,,,,,,
,,048XX S CALUMET AVE,,,,,,,,,,,
,,048XX S CAMPBELL AVE,,,,,,,,,,,
,,048XX S CHAMPLAIN AVE,,,,,,,,,,,
,,048XX S CHICAGO BEACH DR,,,,,,,,,,,
,,048XX S CICERO AVE,,,,,,,,,,,
,,048XX S CORNELL AVE,,,,,,,,,,,
,,048XX S COTTAGE GROVE AVE,,,,,,,,,,,
,,048XX S DAMEN AVE,,,,,,,,,,,
,,048XX S DORCHESTER AVE,,,,,,,,,,,
,,048XX S DR MARTIN LUTHER KING JR DR,,,,,,,,,,,
,,048XX S DR MARTIN LUTHER KING JR SD,,,,,,,,,,,
,,048XX S DREXEL BLVD,,,,,,,,,,,
,,048XX S ELIZABETH ST,,,,,,,,,,,
,,048XX S ELLIS AVE,,,,,,,,,,,
,,048XX S EVANS AVE,,,,,,,,,,,
,,048XX S FORRESTVILLE AVE,,,,,,,,,,,
,,048XX S HALSTED ST,,,,,,,,,,,
,,048XX S HAMLIN AVE,,,,,,,,,,,
,,048XX S HARDING AVE,,,,,,,,,,,
,,048XX S HERMITAGE AVE,,,,,,,,,,,
,,048XX S HONORE ST,,,,,,,,,,,
,,048XX S HOYNE AVE,,,,,,,,,,,
,,048XX S INDIANA AVE,,,,,,,,,,,
,,048XX S JUSTINE ST,,,,,,,,,,,
,,048XX S KARLOV AVE,,,,,,,,,,,
,,048XX S KEATING AVE,,,,,,,,,,,
,,048XX S KEDVALE AVE,,,,,,,,,,,
,,048XX S KEDZIE AVE,,,,,,,,,,,
,,048XX S KEELER AVE,,,,,,,,,,,
,,048XX S KENWOOD AVE,,,,,,,,,,,
,,048XX S KILDARE AVE,,,,,,,,,,,
,,048XX S KILPATRICK AVE,,,,,,,,,,,
,,048XX S KIMBARK AVE,,,,,,,,,,,
,,048XX S KNOX AVE,,,,,,,,,,,
,,048XX S KOLIN AVE,,,,,,,,,,,
,,048XX S KOMENSKY AVE,,,,,,,,,,,
,,048XX S KOSTNER AVE,,,,,,,,,,,
,,048XX S LA CROSSE AVE,,,,,,,,,,,
,,048XX S LAFLIN ST,,,,,,,,,,,
,,048XX S LAKE PARK AVE,,,,,,,,,,,
,,048XX S LAKE SHORE DR NB,,,,,,,,,,,
,,048XX S LAMON AVE,,,,,,,,,,,
,,048XX S LANGLEY AVE,,,,,,,,,,,
,,048XX S LAPORTE AVE,,,,,,,,,,,
,,048XX S LAVERGNE AVE,,,,,,,,,,,
,,048XX S LAWLER AVE,,,,,,,,,,,
,,048XX S LAWNDALE AVE,,,,,,,,,,,
,,048XX S LEAMINGTON AVE,,,,,,,,,,,
,,048XX S LECLAIRE AVE,,,,,,,,,,,
,,048XX S LOOMIS BLVD,,,,,,,,,,,
,,048XX S MARSHFIELD AVE,,,,,,,,,,,
