arrest,beat,block,community_area,description,district,domestic,fbi_code,iucr,location_description,location_type,primary_type,ward,year
,634,0000X E 58TH ST,71,BRIBERY,,,,0556,HALLWAY,,,,
,711,0000X E 59TH ST,72,BY FIRE,,,,0557,HIGHWAY/EXPRESSWAY,,,,
,712,0000X E 60TH ST,73,CALL OPERATION,,,,0558,HOSPITAL,,,,
,713,0000X E 61ST ST,74,CANNABIS PLANT,,,,0560,HOSPITAL BUILDING/GROUNDS,,,,
,714,0000X E 63RD ST,75,CHILD ABANDONMENT,,,,0580,HOTEL,,,,
,715,0000X E 66TH ST,76,CHILD ABDUCTION,,,,0581,HOTEL/MOTEL,,,,
,722,0000X E 68TH ST,77,CHILD ABDUCTION/STRANGER,,,,0583,HOUSE,,,,
,723,0000X E 69TH ST,,CHILD ABUSE,,,,0584,JAIL / LOCK-UP FACILITY,,,,
,724,0000X E 70TH ST,,CHILD PORNOGRAPHY,,,,0610,LAKEFRONT/WATERFRONT/RIVERBANK,,,,
,725,0000X E 71ST ST,,COMMERCIAL SEX ACTS,,,,0620,LAUNDRY ROOM,,,,
,726,0000X E 72ND ST,,COMPUTER FRAUD,,,,0630,LIBRARY,,,,
,731,0000X E 73RD ST,,CONCEALING/AIDING A FUGITIVE,,,,0650,MEDICAL/DENTAL OFFICE,,,,
,732,0000X E 74TH ST,,CONT SUBS:FAIL TO MAINT RECORD,,,,0810,MOVIE HOUSE/THEATER,,,,
,733,0000X E 75TH ST,,CONTRIBUTE CRIM DELINQUENCY JUVENILE,,,,0820,NEWSSTAND,,,,
,734,0000X E 76TH ST,,CONTRIBUTE DELINQUENCY OF A CHILD,,,,0850,NURSING HOME,,,,
,735,0000X E 77TH ST,,COUNTERFEIT CHECK,,,,0860,NURSING HOME/RETIREMENT HOME,,,,
,811,0000X E 78TH ST,,COUNTERFEITING DOCUMENT,,,,0865,OTHER,,,,
,812,0000X E 79TH ST,,CREDIT CARD FRAUD,,,,0870,OTHER COMMERCIAL TRANSPORTATION,,,,
,813,0000X E 80TH ST,,CRIM SEX ABUSE BY FAM MEMBER,,,,0880,OTHER RAILROAD PROP / TRAIN DEPOT,,,,
,814,0000X E 83RD ST,,CRIMINAL DEFACEMENT,,,,0890,PARK PROPERTY,,,,
,815,0000X E 85TH ST,,CRIMINAL DRUG CONSPIRACY,,,,0895,PARKING LOT,,,,
,821,0000X E 86TH ST,,CRIMINAL SEXUAL ABUSE,,,,0910,PARKING LOT/GARAGE(NON.RESID.),,,,
,822,0000X E 87TH ST,,CRIMINAL TRANSMISSION OF HIV,,,,0915,PAWN SHOP,,,,
,823,0000X E 88TH ST,,CYBERSTALKING,,,,0917,POLICE FACILITY/VEH PARKING LOT,,,,
,824,0000X E 89TH PL,,"CYCLE, SCOOTER, BIKE NO VIN",,,,0918,POOL ROOM,,,,
,825,0000X E 89TH ST,,"CYCLE, SCOOTER, BIKE W-VIN",,,,0920,POOLROOM,,,,
,831,0000X E 8TH ST,,DECEPTIVE COLLECTION PRACTICES,,,,0925,PORCH,,,,
,832,0000X E 90TH ST,,DEFACE IDENT MARKS OF FIREARM,,,,0927,RAILROAD PROPERTY,,,,
,833,0000X E 91ST ST,,DEL CONT SUBS TO PERSON <18,,,,0928,RESIDENCE,,,,
,834,0000X E 92ND ST,,DELIVER CANNABIS TO PERSON <18,,,,0930,RESIDENCE PORCH/HALLWAY,,,,
,835,0000X E 93RD ST,,DELIVERY CONTAINER THEFT,,,,0935,RESIDENCE-GARAGE,,,,
,911,0000X E 94TH ST,,DOMESTIC BATTERY SIMPLE,,,,0937,RESIDENTIAL YARD (FRONT/BACK),,,,
,912,0000X E 95TH ST,,EAVESDROPPING,,,,0938,RESTAURANT,,,,
,913,0000X E 99TH PL,,EMBEZZLEMENT,,,,1010,RETAIL STORE,,,,
,914,0000X E 9TH ST,,ENDANGERING LIFE/HEALTH CHILD,,,,1020,SAVINGS AND LOAN,,,,
,915,0000X E ADAMS ST,,ESCAPE,,,,1025,SCHOOL YARD,,,,
,921,0000X E Adams St,,EXTORTION,,,,1030,"SCHOOL, PRIVATE, BUILDING",,,,
,922,0000X E BALBO AVE,,FAIL REGISTER LIC:CONT SUBS,,,,1035,"SCHOOL, PRIVATE, GROUNDS",,,,
,923,0000X E BELLEVUE PL,,FALSE FIRE ALARM,,,,1050,"SCHOOL, PUBLIC, BUILDING",,,,
,924,0000X E BENTON PL,,FALSE POLICE REPORT,,,,1055,"SCHOOL, PUBLIC, GROUNDS",,,,
,925,0000X E BRAYTON ST,,FALSE/STOLEN/ALTERED TRP,,,,1090,SIDEWALK,,,,
,931,0000X E BURTON PL,,FINAN EXPLOIT-ELDERLY/DISABLED,,,,1110,SMALL RETAIL STORE,,,,
,932,0000X E CARVER PLZ,,FINANCIAL IDENTITY THEFT $300 AND UNDER,,,,1120,SPORTS ARENA/STADIUM,,,,
,933,0000X E CEDAR ST,,FINANCIAL IDENTITY THEFT OVER $ 300,,,,1121,STREET,,,,
,934,0000X E CERMAK RD,,FIRST DEGREE MURDER,,,,1122,TAVERN,,,,
,935,0000X E CHESTNUT ST,,FOID - REVOCATION,,,,1130,TAVERN/LIQUOR STORE,,,,
,1011,0000X E CHICAGO AVE,,FORCIBLE DETENTION,,,,1135,TAXICAB,,,,
,1012,0000X E CONGRESS PKWY,,FORCIBLE ENTRY,,,,1140,VACANT LOT,,,,
,1013,0000X E CULLERTON ST,,FORFEIT PROPERTY,,,,1150,VACANT LOT/LAND,,,,
,1014,0000X E DELAWARE PL,,FORGERY,,,,1151,VEHICLE - DELIVERY TRUCK,,,,
,1021,0000X E DIVISION ST,,FOUND PASSPORT,,,,1152,VEHICLE - OTHER RIDE SERVICE,,,,
,1022,0000X E ELM ST,,FOUND SUSPECT NARCOTICS,,,,1153,VEHICLE NON-COMMERCIAL,,,,
,1023,0000X E ERIE ST,,FRAUD OR CONFIDENCE GAME,,,,1154,VEHICLE-COMMERCIAL,,,,
,1024,0000X E GARFIELD BLVD,,FROM BUILDING,,,,1155,VESTIBULE,,,,
,1031,0000X E GOETHE ST,,FROM COIN-OP MACHINE/DEVICE,,,,1156,WAREHOUSE,,,,
,1032,0000X E GRAND AVE,,GAME/AMUSEMENT DEVICE,,,,1160,YARD,,,,
,1033,0000X E HARRISON ST,,GAME/CARDS,,,,1170,,,,,
,1034,0000X E HUBBARD ST,,GAME/DICE,,,,1185,,,,,
,1111,0000X E HURON ST,,GUN OFFENDER: ANNUAL REGISTRATION,,,,1195,,,,,
,1112,0000X E ILLINOIS ST,,GUN OFFENDER: DUTY TO REGISTER,,,,1200,,,,,
,1113,0000X E JACKSON BLVD,,GUN OFFENDER: DUTY TO REPORT CHANGE OF INFORMATION,,,,1205,,,,,
,1114,0000X E KINZIE ST,,HARASSMENT BY ELECTRONIC MEANS,,,,1206,,,,,
,1115,0000X E LAKE ST,,HARASSMENT BY TELEPHONE,,,,1210,,,,,
,1121,0000X E LOWER WACKER DR,,HARBOR RUNAWAY,,,,1220,,,,,
,1122,0000X E LOWER WACKER PL,,HAZARDOUS MATERIALS VIOLATION,,,,1230,,,,,
,1123,0000X E Lake St,,HOME INVASION,,,,1235,,,,,
,1124,0000X E MADISON ST,,ILLEGAL CONSUMPTION BY MINOR,,,,1240,,,,,
